day_of_week,hour,raw_trips,raw_tips,raw_fares,raw_tip_ratio,strict_trips,strict_tips,strict_fares,strict_tip_ratio,evasion_gap,evasion_rate_pct
1,13,36975,117434.91,814903.61,0.14410895786803546,24459,108284.23,530399.11,0.2041561306541408,12516,33.8498985801217
1,14,40857,134809.72,926645.1,0.14548150095435675,27130,125266.49,603369.82,0.2076114612427914,13727,33.5976699219228
1,15,43530,140584.9,1005642.49,0.1397961018930296,28362,129957.25,629056.39,0.20659077956429311,15168,34.84493452791179
1,16,43929,150541.78,1029428.77,0.14623817051470206,28539,139827.15,633330.73,0.2207806180508563,15390,35.03380454824831
1,17,47029,149331.71,1083407.3,0.13783524441823494,29808,136947.43,608743.69,0.2249673093120686,17221,36.61783155074529
1,18,47896,143362.98,1016805.31,0.1409935398547437,29787,132491.27,565237.61,0.23439924671679224,18109,37.80900283948555
1,19,40658,124156.78,813551.26,0.15261088772697617,26214,116845.51,494770.95,0.2361608134026462,14444,35.52560381720695
1,20,40138,119082.08,828667.5,0.1437030895986629,25468,112026.27,485774.71,0.23061363157419207,14670,36.54890627335692
1,21,42743,124479.02,996131.6,0.12496242464349089,26061,115640.97,494393.09,0.23390490753015986,16682,39.02861287228318
1,22,37251,102497.01,858636.2,0.11937187134667744,21088,94127.01,407208.89,0.23115165781375743,16163,43.38943920968565
1,23,26110,68651.38,567989.81,0.12086727400972211,13726,64445.91,285627.1,0.22562953585286552,12384,47.43010340865569
2,0,15744,37293.91,330317.2,0.11290332444087078,7152,34632.17,154873.86,0.22361533444055698,8592,54.57317073170732
2,1,7435,14467.31,145824.22,0.09921061124139735,3069,13035.75,57614.05,0.22625991403138643,4366,58.72225958305313
2,2,4122,6869.45,81938.46,0.0838366989079365,1442,5939.53,26082.43,0.22772149680838785,2680,65.01698204754973
2,3,2689,4657.51,57060.52,0.0816240370750214,894,3805.56,18943.4,0.20089107551970606,1795,66.75343994049832
2,4,3238,7749.72,91059.26,0.08510633624740636,1108,5607.45,35679.45,0.15716189571307854,2130,65.78134651019147
2,5,5244,11148.44,137124.88,0.08130136558733908,2310,8709.83,65358.17,0.1332630641280195,2934,55.94965675057209
2,6,11647,24730.0,290446.12,0.08514487988340144,5627,21086.25,140647.47,0.14992271101641572,6020,51.687129732978455
2,7,22150,49873.09,503729.67,0.09900764828881332,12074,42776.58,235905.23,0.1813295110074499,10076,45.48984198645598
2,8,29348,70527.48,642504.66,0.10976960073721488,17087,61229.04,315373.31,0.1941478180255647,12261,41.777974649039116
